Id,Url,PlayerName,Team,PlayerName_Official,PlayerName_Full
518876,https://www.mlb.com/player/518876,Kelly M,Arizona Diamondbacks,Merrill Kelly,Kenneth Merrill Kelly
573009,https://www.mlb.com/player/573009,Mantiply,Arizona Diamondbacks,Joe Mantiply,Joseph Newman Mantiply
623352,https://www.mlb.com/player/623352,Hader,San Diego Padres,Josh Hader,Josh Ronald Hader
669711,https://www.mlb.com/player/669711,Weissert,New York Yankees,Greg Weissert,Gregory R. Weissert
656876,https://www.mlb.com/player/656876,Rasmussen,Tampa Bay Rays,Drew Rasmussen,Drew Thomas Rasmussen
664023,https://www.mlb.com/player/664023,Happ,Chicago Cubs,Ian Happ,Ian Edward Happ
666201,https://www.mlb.com/player/666201,Manoah,Toronto Blue Jays,Alek Manoah,Alek Isaac Manoah
596129,https://www.mlb.com/player/596129,Vogelbach,New York Mets,Daniel Vogelbach,Daniel Vogelbach
666200,https://www.mlb.com/player/666200,Luzardo,Miami Marlins,Jesus Luzardo,Jesus G. Luzardo
542947,https://www.mlb.com/player/542947,Bleier,Miami Marlins,Richard Bleier,Richard Sidney Bleier
656638,https://www.mlb.com/player/656638,Lange,Detroit Tigers,Alex Lange,Alex Craig Lange
595284,https://www.mlb.com/player/595284,Knapp,San Francisco Giants,Andrew Knapp,Andrew Michael Knapp
596133,https://www.mlb.com/player/596133,Weaver,Kansas City Royals,Luke Weaver,Luke Allen Weaver
502054,https://www.mlb.com/player/502054,Pham,Boston Red Sox,Tommy Pham,Thomas James Pham
595281,https://www.mlb.com/player/595281,Kiermaier,Tampa Bay Rays,Kevin Kiermaier,Kevin James Kiermaier
680700,https://www.mlb.com/player/680700,Palacios,Cleveland Guardians,Richie Palacios,Richard Palacios
643316,https://www.mlb.com/player/643316,Fry,Baltimore Orioles,Paul Fry,Paul Raymond Fry
676694,https://www.mlb.com/player/676694,Meyers,Houston Astros,Jake Meyers,Jacob Berkshire Meyers
493329,https://www.mlb.com/player/493329,Gurriel,Houston Astros,Yuli Gurriel,Yulieski Gurriel
680704,https://www.mlb.com/player/680704,Sandlin,Cleveland Guardians,Nick Sandlin,Nick Sandlin
542932,https://www.mlb.com/player/542932,Berti,Miami Marlins,Jon Berti,Jonathon David Berti
459429,https://www.mlb.com/player/459429,McGee,Washington Nationals,Jake McGee,Jacob Daniel McGee
518626,https://www.mlb.com/player/518626,Donaldson,New York Yankees,Josh Donaldson,Joshua Adam Donaldson
624431,https://www.mlb.com/player/624431,Trevino,New York Yankees,Jose Trevino,Jose Trevino
