savant_uri,schedule_id,schedule_url
Cruz_Jr_Nelson,443558,https://www.mlb.com/player/443558
Darvish_Yu,506433,https://www.mlb.com/player/506433
Devers_Rafael,646240,https://www.mlb.com/player/646240
Diaz_Yandy,650490,https://www.mlb.com/player/650490
Donaldson_Josh,518626,https://www.mlb.com/player/518626
Drury_Brandon,592273,https://www.mlb.com/player/592273
Edman_Tommy,669242,https://www.mlb.com/player/669242
Escobar_Eduardo,500871,https://www.mlb.com/player/500871
Estrada_Thairo,642731,https://www.mlb.com/player/642731
Farmer_Kyle,571657,https://www.mlb.com/player/571657
Flores_Wilmer,527038,https://www.mlb.com/player/527038
France_Ty,664034,https://www.mlb.com/player/664034
Frazier_Adam,624428,https://www.mlb.com/player/624428
Freeland_Kyle,607536,https://www.mlb.com/player/607536
Freeman_Freddie,518692,https://www.mlb.com/player/518692
Fried_Max,608331,https://www.mlb.com/player/608331
Gallen_Zac,668678,https://www.mlb.com/player/668678
Garcia_Adolis,666969,https://www.mlb.com/player/666969
Gausman_Kevin,592332,https://www.mlb.com/player/592332
Gibson_Kyle,502043,https://www.mlb.com/player/502043
Gilbert_Logan,669302,https://www.mlb.com/player/669302
Gimenez_Andres,665926,https://www.mlb.com/player/665926
Goldschmidt_Paul,502671,https://www.mlb.com/player/502671
Gonzales_Marco,594835,https://www.mlb.com/player/594835
Grichuk_Randal,545341,https://www.mlb.com/player/545341
Grisham_Trent,663757,https://www.mlb.com/player/663757
Guerrero_Jr_Vladimir,665489,https://www.mlb.com/player/665489
Gurriel_Yuli,493329,https://www.mlb.com/player/493329
Happ_Ian,664023,https://www.mlb.com/player/664023
Hayes_Ke_Bryan,663647,https://www.mlb.com/player/663647
Hays_Austin,669720,https://www.mlb.com/player/669720
Hernandez_Cesar,514917,https://www.mlb.com/player/514917
Hernandez_Teoscar,606192,https://www.mlb.com/player/606192
Hoerner_Nico,663538,https://www.mlb.com/player/663538
Hoskins_Rhys,656555,https://www.mlb.com/player/656555
