Id,PlayerType,MonthType,MonthTypeV,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
595777,Batter,Extra Innings,9,,,,,,,,,,,,,,,,8,7,3,3,0,0,0,2,1,2,1,0,0,.429,.500,.429,.929
595777,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,49,40,4,7,1,0,1,4,7,3,0,0,1,.175,.306,.275,.581
595777,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,59,52,9,14,2,0,1,7,7,12,0,0,0,.269,.356,.365,.721
595777,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,76,66,11,20,8,1,0,6,9,7,1,0,1,.303,.395,.455,.850
595777,Batter,Second Inning,1,,,,,,,,,,,,,,,,51,44,7,13,2,0,3,9,7,4,0,0,0,.295,.392,.545,.937
595777,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,80,67,11,18,8,0,1,12,12,8,0,0,0,.269,.375,.433,.808
595777,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,68,60,8,17,1,0,2,5,7,11,0,1,0,.283,.358,.400,.758
595777,Batter,First Inning,0,,,,,,,,,,,,,,,,118,110,12,22,7,1,3,3,7,28,1,0,1,.200,.254,.364,.618
595777,Batter,Third Inning,2,,,,,,,,,,,,,,,,86,75,9,17,4,0,3,7,8,16,0,0,1,.227,.310,.400,.710
595777,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,63,54,8,9,3,0,1,3,8,12,2,0,0,.167,.270,.278,.548
518692,Batter,Extra Innings,9,,,,,,,,,,,,,,,,13,9,2,3,2,0,0,4,4,1,1,0,0,.333,.538,.556,1.094
518692,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,34,30,7,12,1,0,2,5,3,4,1,0,0,.400,.441,.633,1.074
518692,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,65,54,11,16,3,0,0,3,11,9,0,0,0,.296,.415,.352,.767
518692,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,77,68,12,31,8,1,3,21,6,8,0,0,0,.456,.481,.735,1.216
518692,Batter,Second Inning,1,,,,,,,,,,,,,,,,23,19,2,7,2,0,1,6,4,3,0,0,0,.368,.478,.632,1.110
518692,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,81,69,10,17,5,0,1,8,11,14,1,1,0,.246,.346,.362,.708
518692,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,73,64,14,18,5,0,1,10,8,9,2,0,0,.281,.356,.406,.762
518692,Batter,First Inning,0,,,,,,,,,,,,,,,,159,141,31,48,12,0,8,17,16,28,6,0,2,.340,.415,.596,1.011
518692,Batter,Third Inning,2,,,,,,,,,,,,,,,,106,93,18,31,6,0,5,18,9,13,1,1,3,.333,.406,.559,.965
518692,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,77,65,10,16,3,1,0,8,12,13,1,1,0,.246,.364,.323,.687
592663,Batter,Extra Innings,9,,,,,,,,,,,,,,,,7,7,0,2,0,0,0,3,0,1,1,0,0,.286,.286,.286,.572
592663,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,47,42,5,9,2,0,3,6,5,13,4,0,0,.214,.298,.476,.774
592663,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,77,72,9,19,2,0,2,9,2,18,2,0,2,.264,.299,.375,.674
592663,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,49,40,9,11,2,0,1,5,7,11,1,0,2,.275,.408,.400,.808
592663,Batter,Second Inning,1,,,,,,,,,,,,,,,,76,69,4,11,4,1,0,2,5,21,0,0,1,.159,.224,.246,.470
592663,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,57,53,6,20,4,0,2,10,2,10,0,0,1,.377,.404,.566,.970
592663,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,71,64,13,22,3,2,7,15,7,13,3,0,0,.344,.408,.781,1.189
592663,Batter,First Inning,0,,,,,,,,,,,,,,,,64,55,7,16,6,1,0,13,7,7,5,1,2,.291,.391,.436,.827
592663,Batter,Third Inning,2,,,,,,,,,,,,,,,,48,43,11,16,1,1,3,12,2,11,4,0,1,.372,.396,.651,1.047
592663,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,66,59,11,13,2,0,4,9,4,14,1,0,3,.220,.303,.458,.761
592662,Pitcher,Fourth Inning,3,,,3.90,30,,,30.0,116,22,14,13,5,8,30,1.00,,,,,,,,,,,,,,,,,
592662,Pitcher,Seventh Inning,6,,,7.71,12,,,9.1,41,12,8,8,6,2,11,1.50,,,,,,,,,,,,,,,,,
592662,Pitcher,Second Inning,1,,,3.94,32,,,32.0,131,30,15,14,6,9,40,1.22,,,,,,,,,,,,,,,,,
592662,Pitcher,Fifth Inning,4,,,3.00,30,,,30.0,127,24,10,10,3,14,37,1.27,,,,,,,,,,,,,,,,,
592662,Pitcher,Sixth Inning,5,,,2.63,25,,,24.0,92,17,7,7,4,5,27,0.92,,,,,,,,,,,,,,,,,
592662,Pitcher,First Inning,0,,,3.09,32,,,32.0,134,29,11,11,6,11,36,1.25,,,,,,,,,,,,,,,,,
592662,Pitcher,Third Inning,2,,,3.98,32,,,31.2,132,27,14,14,2,13,31,1.26,,,,,,,,,,,,,,,,,
592662,Pitcher,Eighth Inning,7,,,-.--,1,,,0.0,2,2,1,1,0,0,0,-.--,,,,,,,,,,,,,,,,,
664913,Batter,Extra Innings,9,,,,,,,,,,,,,,,,6,4,0,0,0,0,0,0,2,1,0,0,0,.000,.333,.000,.333
664913,Batter,Ninth Inning,8,,,,,,,,,,,,,,,,60,53,2,8,3,0,0,4,7,24,2,0,0,.151,.250,.208,.458
664913,Batter,Fourth Inning,3,,,,,,,,,,,,,,,,76,70,4,14,3,0,2,6,6,22,1,0,0,.200,.263,.329,.592
664913,Batter,Seventh Inning,6,,,,,,,,,,,,,,,,58,52,7,14,4,0,3,15,4,11,1,0,2,.269,.345,.519,.864
664913,Batter,Second Inning,1,,,,,,,,,,,,,,,,61,58,2,11,2,1,0,0,2,27,2,0,1,.190,.230,.259,.489
664913,Batter,Fifth Inning,4,,,,,,,,,,,,,,,,36,34,6,9,3,0,4,10,2,10,0,1,0,.265,.306,.706,1.012
664913,Batter,Sixth Inning,5,,,,,,,,,,,,,,,,78,66,10,14,4,0,3,9,12,17,2,0,0,.212,.333,.409,.742
664913,Batter,First Inning,0,,,,,,,,,,,,,,,,75,65,9,19,4,0,3,9,10,13,2,0,0,.292,.387,.492,.879
664913,Batter,Third Inning,2,,,,,,,,,,,,,,,,52,48,6,9,0,1,4,9,4,14,0,0,0,.188,.250,.479,.729
664913,Batter,Eighth Inning,7,,,,,,,,,,,,,,,,53,50,9,17,3,1,6,11,2,7,1,1,0,.340,.358,.800,1.158
657277,Pitcher,Ninth Inning,8,,,-.--,1,,,0.0,1,1,1,1,1,0,0,-.--,,,,,,,,,,,,,,,,,
657277,Pitcher,Fourth Inning,3,,,3.69,32,,,31.2,136,31,15,13,2,11,28,1.33,,,,,,,,,,,,,,,,,
657277,Pitcher,Seventh Inning,6,,,4.50,13,,,10.0,44,10,5,5,0,5,9,1.50,,,,,,,,,,,,,,,,,
