savant_id,schedule_id,savant_uri,schedule_url,savant_name,schedule_name,savant_team,schedule_team,official_name,full_name
135,642708,Rosario_Amed,https://www.mlb.com/player/642708,Amed Rosario,Rosario A,Cleveland Guardians,Cleveland Guardians,Amed Rosario,German Amed Rosario
136,467793,Santana_Carlos,https://www.mlb.com/player/467793,Carlos Santana,Santana,Seattle Mariners,Seattle Mariners,Carlos Santana,Carlos Santana
137,623993,Santander_Anthony,https://www.mlb.com/player/623993,Anthony Santander,Santander,Baltimore Orioles,Baltimore Orioles,Anthony Santander,Anthony Roger Santander
138,570731,Schoop_Jonathan,https://www.mlb.com/player/570731,Jonathan Schoop,Schoop,Detroit Tigers,Detroit Tigers,Jonathan Schoop,Jonathan Rufino Jezus Schoop
139,656941,Schwarber_Kyle,https://www.mlb.com/player/656941,Kyle Schwarber,Schwarber,Philadelphia Phillies,Philadelphia Phillies,Kyle Schwarber,Kyle Joseph Schwarber
140,608369,Seager_Corey,https://www.mlb.com/player/608369,Corey Seager,Seager,Texas Rangers,Texas Rangers,Corey Seager,Corey Drew Seager
141,543760,Semien_Marcus,https://www.mlb.com/player/543760,Marcus Semien,Semien,Texas Rangers,Texas Rangers,Marcus Semien,Marcus Andrew Semien
142,669257,Smith_Will,https://www.mlb.com/player/669257,Will Smith,Smith W.D.,Los Angeles Dodgers,Los Angeles Dodgers,Will Smith,William Dills Smith
143,665742,Soto_Juan,https://www.mlb.com/player/665742,Juan Soto,Soto J,San Diego Padres,San Diego Padres,Juan Soto,Juan Jose Soto
144,543807,Springer_III_George,https://www.mlb.com/player/543807,George Springer III,Springer,Toronto Blue Jays,Toronto Blue Jays,George Springer,George Chelston Springer
145,664702,Straw_Myles,https://www.mlb.com/player/664702,Myles Straw,Straw,Cleveland Guardians,Cleveland Guardians,Myles Straw,Myles James Noble Straw
146,553993,Suarez_Eugenio,https://www.mlb.com/player/553993,Eugenio Suarez,Suarez E,Seattle Mariners,Seattle Mariners,Eugenio Suarez,Eugenio Alejandro Suarez
147,621020,Swanson_Dansby,https://www.mlb.com/player/621020,Dansby Swanson,Swanson,Atlanta Braves,Atlanta Braves,Dansby Swanson,James Dansby Swanson
148,592791,Taillon_Jameson,https://www.mlb.com/player/592791,Jameson Taillon,Taillon,New York Yankees,New York Yankees,Jameson Taillon,Jameson Lee Taillon
149,642133,Tellez_Rowdy,https://www.mlb.com/player/642133,Rowdy Tellez,Tellez,Milwaukee Brewers,Milwaukee Brewers,Rowdy Tellez,Ryan John Tellez
150,657041,Thomas_Lane,https://www.mlb.com/player/657041,Lane Thomas,Thomas L,Washington Nationals,Washington Nationals,Lane Thomas,Lane Michael Thomas
151,650402,Torres_Gleyber,https://www.mlb.com/player/650402,Gleyber Torres,Torres,New York Yankees,New York Yankees,Gleyber Torres,Gleyber David Torres
152,663656,Tucker_Kyle,https://www.mlb.com/player/663656,Kyle Tucker,Tucker,Houston Astros,Houston Astros,Kyle Tucker,Kyle Daniel Tucker
153,607208,Turner_Justin,https://www.mlb.com/player/607208,Justin Turner,Turner,Los Angeles Dodgers,Los Angeles Dodgers,Trea Turner,Trea Vance Turner
154,607208,Turner_Trea,https://www.mlb.com/player/607208,Trea Turner,Turner,Los Angeles Dodgers,Los Angeles Dodgers,Trea Turner,Trea Vance Turner
155,628711,Urias_Julio,https://www.mlb.com/player/628711,Julio Urias,Urias J,Los Angeles Dodgers,Los Angeles Dodgers,Julio Urias,Julio Cesar Urias
156,664353,Urquidy_Jose,https://www.mlb.com/player/664353,Jose Urquidy,Urquidy,Houston Astros,Houston Astros,Jose Urquidy,Jose Luis Urquidy
157,570482,Urshela_Gio,https://www.mlb.com/player/570482,Gio Urshela,Urshela,Minnesota Twins,Minnesota Twins,Gio Urshela,Giovanny Urshela
158,664285,Valdez_Framber,https://www.mlb.com/player/664285,Framber Valdez,Valdez F,Houston Astros,Houston Astros,Framber Valdez,Framber Valdez
159,662139,Varsho_Daulton,https://www.mlb.com/player/662139,Daulton Varsho,Varsho,Arizona Diamondbacks,Arizona Diamondbacks,Daulton Varsho,Daulton Varsho
160,683734,Vaughn_Andrew,https://www.mlb.com/player/683734,Andrew Vaughn,Vaughn,Chicago White Sox,Chicago White Sox,Andrew Vaughn,Andrew Clayton Vaughn
161,657077,Verdugo_Alex,https://www.mlb.com/player/657077,Alex Verdugo,Verdugo,Boston Red Sox,Boston Red Sox,Alex Verdugo,Alexander Brady Verdugo
162,434378,Verlander_Justin,https://www.mlb.com/player/434378,Justin Verlander,Verlander,Houston Astros,Houston Astros,Justin Verlander,Justin Brooks Verlander
163,572228,Voit_III_Luke,https://www.mlb.com/player/572228,Luke Voit III,Voit,San Diego Padres,Washington Nationals,Luke Voit,Louis Linwood Voit
164,425794,Wainwright_Adam,https://www.mlb.com/player/425794,Adam Wainwright,Wainwright,St. Louis Cardinals,St. Louis Cardinals,Adam Wainwright,Adam Parrish Wainwright
165,572233,Walker_Christian,https://www.mlb.com/player/572233,Christian Walker,Walker C,Arizona Diamondbacks,Arizona Diamondbacks,Christian Walker,Christian Dickson Walker
166,621493,Ward_Taylor,https://www.mlb.com/player/621493,Taylor Ward,Ward,Los Angeles Angels,Los Angeles Angels,Taylor Ward,Joseph Taylor Ward
167,657277,Webb_Logan,https://www.mlb.com/player/657277,Logan Webb,Webb,San Francisco Giants,San Francisco Giants,Logan Webb,Logan T. Webb
168,608385,Winker_Jesse,https://www.mlb.com/player/608385,Jesse Winker,Winker,Seattle Mariners,Seattle Mariners,Jesse Winker,Jesse Winker
169,621550,Wisdom_Patrick,https://www.mlb.com/player/621550,Patrick Wisdom,Wisdom,Chicago Cubs,Chicago Cubs,Patrick Wisdom,Patrick Ian-Cashel Wisdom
170,677951,Witt_Jr_Bobby,https://www.mlb.com/player/677951,Bobby Witt Jr,Witt Jr.,Kansas City Royals,Kansas City Royals,Bobby Witt Jr.,Robert Andrew Witt Jr.
171,657140,Wright_Kyle,https://www.mlb.com/player/657140,Kyle Wright,Wright,Atlanta Braves,Atlanta Braves,Kyle Wright,Kyle Hardy Wright
172,573262,Yastrzemski_Mike,https://www.mlb.com/player/573262,Mike Yastrzemski,Yastrzemski,San Francisco Giants,San Francisco Giants,Mike Yastrzemski,Michael Andrew Yastrzemski
173,592885,Yelich_Christian,https://www.mlb.com/player/592885,Christian Yelich,Yelich,Milwaukee Brewers,Milwaukee Brewers,Christian Yelich,Christian Stephen Yelich
